defect,severity,state,component,owner,orignator,age,abstract
1014510,1,closed,error,sysxsmcr,dimpu,pdakappa,62,FVLI_81P:Crash in smcr_smrg_moveto_RTS_queue_timeout error path
1014507,1,canceled,duplicate,sysxsmcr,harikm,kvaliapa,6,FVLI_81P: system crash while running load/unload in loop
1014505,1,canceled,duplicate,sysxsmcr,dimpu,kvaliapa,2,FVLI_81P: system crash while configuring IP on roce interface
1014503,2,canceled,fixed,sysxsmcr,dimpu,kvaliapa,6,FVLI_81P: communication failing back to tcp with ftp
1014501,1,canceled,unrecreatable,pcimlxcent,balt,pgohil,0,HOT:FVLI-1AT:Adapter port goes into defind state with EEH
1014497,2,open,,sysxsmcr,arunsp,pdakappa,204,FVLI_81P:packet flow over interface which is not in ip_addr_ran
1014496,2,canceled,duplicate,sysxsmcr,dimpu,kvaliapa,5,FVLI_81P: communication failing back to tcp after unload/load
1014491,2,closed,error,sysxsmcr,sgundura,pdakappa,66,FVLI_81P:setclock fails sometimes with exitcode 1 and 141
1014489,1,canceled,usage,devscreen,scrnteam,pgohil,0,HOT:FVLI-1AT:boot disk corrpt systrace on/off, memtrac on/off
1014486,1,canceled,vague,pool,ninad,madhusmita,0,HOT:FVLI-1J9-FVT:cache disable failed for node having client IO
1014476,1,returned,duplicate,pcimlxcent,vmansur,akt,0,FVLI-1AV:losing boot disk after systrace on/off, memtrac on/off
1014389,2,open,,sysproc,jmcasas,lkambadu,205,FVLI-1AT:EID errpt is observed on VEA interface derived 10G CX4
1014386,2,canceled,duplicate,exer_com,shilpac,pgohil,2,FVLI-1AT: device b31515101f06 of type CX4 need to be added
1014372,1,canceled,duplicate,pcimlxcent,balt,swetha,3,FVLI-1D0: Hang when trying to assign ip for etherchannel
1014367,1,canceled,duplicate,sysxsmcr,dimpu,pdakappa,3,FVLI_81P:OS hang while executing rmdev -dl smcr0
1014352,1,canceled,fixed,pool,ninad,madhusmita,0,HOT:FVLI-1J9-FVT:system crash@dcRange2Keys+0000F4
1014335,2,returned,usage,netcmdkern,jpvillam,pdakappa,0,FVT_DEV:ifconfig accept invalid IPv4 format for IP and netmask
1014300,2,returned,usage,sysxsmcr,arunsp,pdakappa,11,FVLI_81P:Data comm fails when smcr enabled with supernet subnet
1014265,2,closed,error,sysxsmcr,arunsp,pdakappa,64,FVLI_81P:CLC message format is not as per rfc7609
1014258,2,open,,everglades,restrad,nnandula,201,FVLI-1AT:Adapter dead state with microcode &EEH
1014253,3,closed,error,sysxsmcr,dimpu,pdakappa,22,FVLI_81P:peerid format is not as per RFC7609
1014247,1,canceled,duplicate,sysxsmcr,sgundura,kvaliapa,4,FVLI_81P: system hang if LPAR is shutdown when links are active
1014228,2,open,,pcimlxcent,balt,akt,191,FVLI-1AV: EID observed while running ftp+multi thread entstat
1014196,3,open,,sysxsmcr,arunsp,pdakappa,208,FVLI_81P:result from entstat Elapsed time is not changing
1014110,2,closed,error,sysxsmcr,sgundura,kvaliapa,20,FVLI_81P: OOB does not work with SMCR
1014107,1,returned,duplicate,exer_com,shilpac,akt,3,FVLI-1AV: Htx is not able to identify the device.
1014104,2,canceled,limitation,sysxsmcr,sgundura,kvaliapa,18,FVLI_81P: connection termination(4 way handshake)not working
1014102,2,closed,error,sysxsmcr,jlhall,pdakappa,67,FVLI_81P:smcr un-install success when there was an active conn
1014099,1,canceled,duplicate,pcimlxcent,balt,swetha,11,FVLI-1D0: Ping not working on VF with promiscuous enabled
1014086,1,closed,error,sysxvio_daemon,mjmcelen,madhusmita,60,FVLI-1J9-FVT:SSP cachepartition cleanup failed after Cache Stop
1014077,1,canceled,duplicate,sysxvio_daemon,mjmcelen,madhusmita,0,FVLI-1J9-FVT:SSP cahce enable hang after 7.5 hrs run
1014075,2,closed,error,sysxsmcr,sgundura,pdakappa,46,FVLI_81P:TCP used if the IP is configured after loading SMCR
1014032,2,closed,error,sysxsmcr,dimpu,pdakappa,47,FVLI_81P:ADD LINK fails while creating asymmetric link
1014004,1,closed,error,sysxsmcr,sgundura,pdakappa,8,FVLI_81P:OS crashed while executing rmdev -dl smcr0
1013997,1,closed,error,pool,ninad,madhusmita,11,FVLI-1J9-FVT:SSP cache disable hang for nodes client I/O
1013986,2,returned,limitation,sysvmm,jajaloma,lkambadu,183,Paging creation on capi disks is working
1013982,1,returned,vague,sysxsmcr,vmansur,pdakappa,8,FVLI_81P:OS hang while rebooting after installing htx
1013931,1,closed,error,sysxsmcr,dimpu,kvaliapa,48,FVLI_81P: link is not coming up after down detach and up
1013874,1,canceled,duplicate,sysxsmcr,harikm,kvaliapa,14,FVLI_81P: system crash while doing down detach of roce interfac
1013871,1,canceled,other_s/w,pool,ninad,madhusmita,0,HOT:FVLI-1J9-FVT:system crash@]dcRangeOpBegin+000E34
1013870,1,closed,error,sysxsmcr,dimpu,pdakappa,69,FVLI_81P:OS hang while removing the second link
1013816,1,canceled,duplicate,pool,dcmcdoug,madhusmita,0,FVLI-1J9-FVT:system crash@csmTierDCAcquireRangeLock+00004C
1013812,1,verify,error,sysnet_cdli,davemarq,akt,171,FVBLKLI-1AV: hang after assigning IP to etherchannel interf
1013797,2,canceled,fixed,sysxvio_daemon,mjmcelen,madhusmita,24,RECR: FVLI-1J9-FVT:ssp cache failed to enable for newly added n
1013740,1,closed,error,pool,ninad,madhusmita,14,FVLI-1J9-FVT:SSPcache disable failed after enable long tm
1013721,2,closed,error,sysxvio_daemon,mjmcelen,dittjose1,80,FVLI-1J9-FVT:sspcache status shows pending for node w/o c_pool
1013715,2,canceled,design,dascache,sangeek,dittjose1,1,FVLI-1J9-FVT:cachedisk name changes after inactive lpm.
1013710,1,canceled,duplicate,sysxsmcr,dimpu,pdakappa,0,FVLI_81P:OS crashed while executing netop after creating peerid
1013708,1,canceled,usage,sriov_pf_screen.afwp,tmhoffma,swetha,6,FVLI-1D0: VF is not coming up in lpar as cfgmgr is hanging
1013703,2,canceled,limitation,sysxvio_daemon,mjmcelen,madhusmita,10,FVLI-1J9-FVT:sspcache status failed for node where pool is down
1013698,1,canceled,,sysxsmcr,arunsp,kvaliapa,0,FVLI_81P: system crash while unloading smcr
1013696,1,closed,error,sysxsmcr,dimpu,pdakappa,71,FVLI_81P:Both lpars crashed while executing netop in duplex
1013692,2,canceled,fixed,pcimlxcent,balt,swetha,11,FVLI-1D0: Mismatch of the ODM Attributes
1013691,1,canceled,unrecreatable,pool,janet,madhusmita,16,RECR: FVLI-1J9-FVT:sspcache enabled hanged with client I/O     
1013675,1,canceled,fixed,sysxsmcr,sgundura,pdakappa,10,HOT:FVLI_81P:OS crash while executing rcp
1013666,1,closed,error,pool,ninad,madhusmita,15,FVLI-1J9-FVT:sspcache disabled failed
1013656,2,closed,error,sysxsmcr,dimpu,pdakappa,74,FVLI_81P:entstat shows junk value for active link groups
1013605,1,closed,error,sysxsmcr,vmansur,pdakappa,53,FVLI_81P:Connections failing back to TCP with CLC decline
1013599,2,closed,error,sysxsmcr,jlhall,pdakappa,181,SMCR Install packaging needs to update /etc/inittab
1013590,2,canceled,duplicate,sysxsmcr,sgundura,kvaliapa,0,FVLI_81P: rlogin fails with "Software caused connection abort"
1013587,1,canceled,duplicate,sysxsmcr,sgundura,pdakappa,13,FVLI_81P:rsh fails with protocol error
1013518,1,canceled,limitation,Redfish,shawnw7,vinkarne,24,HOT:FVLI-082:LPAR is stuck with "0554" after alt_disk_copy
1013515,1,canceled,usage,sysxsmcr,arunsp,pdakappa,6,FVLI_81P:telnet uses TCP though SMCR is enabled
1013484,1,returned,other_s/w,devscreen,scrnteam,pdakappa,5,FVT_DEV:lpar unusable state post smcr load/unload in loop
1013446,2,open,,pcimlxcent,shouchun,pgohil,218,FVLI-1AT:mkvdev fails sometime for 10G CX4 adapter
1013441,1,canceled,fixed,sysxsmcr,dimpu,pdakappa,2,FVLI_81P:unload smcr crash when there was an active link
1013436,2,canceled,limitation,sysxsmcr,sgundura,kvaliapa,16,FVLI_81P: netop  with smcr shows performance degradation
1013431,2,open,,pcimlxcent,shouchun,pgohil,218,FVLI-1AT:enabling checksum_offload after mkdev fails
1013429,2,canceled,usage,sysxsmcr,arunsp,kvaliapa,0,FVLI_81P: communication failback to tcp while running HTX
1013411,1,canceled,,sysxsmcr,arunsp,pdakappa,0,FVLI_81P:Ping from CX2 to CX3 adapter fails.
1013366,1,closed,error,sysxsmcr,sgundura,kvaliapa,48,FVLI_81P: rlogin fails with SMCR
1013353,2,closed,error,sysxsmcr,jlhall,kvaliapa,113,FVLI_81P:ip_addr_range accept invalid values
1013352,2,canceled,fixed,sysxsmcr,arunsp,pdakappa,28,FVLI_81P:tcp apps fail as CLC msgs are corrupted
1013350,2,canceled,duplicate,sysxsmcr,jlhall,kvaliapa,30,FVLI_81P: SMCR is used even when port_range is zero on server s
1013345,1,canceled,usage,pcimlxcent,shouchun,pgohil,1,FVLI-1AT: System crash when rebooted from HMC
1013343,2,closed,error,sysxsmcr,jlhall,pdakappa,77,FVLI_81P:Link is created even though IP is not specified
1013308,3,open,,sysxsmcr,jlhall,pdakappa,220,FVLI_81P:smcr ODM entry update give error when KE is not loaded
1013305,1,closed,error,PF.afwp,joncfouk,swetha,11,FVLI-1D0: Not able to create VF with non-zero port vlan id
1013303,2,returned,unrecreatable,pcimlxcent,shouchun,pgohil,136,FVLI-1AT:EID - Excessive interrupt disablement time error
